Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,95.0,95.0,,95.0,99.0,96.0,95.0,,96.0,,Latin America & Caribbean
2017,96.0,95.0,95.0,,95.0,95.0,99.0,95.0,,99.0,,Latin America & Caribbean
2016,97.0,92.0,92.0,,92.0,86.0,88.0,68.0,,88.0,,Latin America & Caribbean
2015,99.0,99.0,99.0,,99.0,21.0,91.0,84.0,,91.0,,Latin America & Caribbean
2014,99.0,99.0,99.0,,99.0,,93.0,99.0,,93.0,,Latin America & Caribbean
2013,99.0,99.0,99.0,,99.0,,96.0,87.0,,96.0,,Latin America & Caribbean
2012,99.0,98.0,98.0,,98.0,,98.0,90.0,,98.0,,Latin America & Caribbean
2011,99.0,99.0,99.0,,99.0,,99.0,89.0,,99.0,,Latin America & Caribbean
2010,99.0,98.0,98.0,,98.0,,98.0,92.0,,98.0,,Latin America & Caribbean
2009,99.0,99.0,98.0,,94.0,,99.0,94.0,,99.0,,Latin America & Caribbean
2008,99.0,99.0,98.0,,97.0,,99.0,83.0,,99.0,,Latin America & Caribbean
2007,99.0,99.0,97.0,,99.0,,99.0,78.0,,99.0,,Latin America & Caribbean
2006,99.0,99.0,99.0,,99.0,,99.0,68.0,,99.0,,Latin America & Caribbean
2005,99.0,99.0,99.0,,99.0,,99.0,46.0,,99.0,,Latin America & Caribbean
2004,99.0,97.0,97.0,,97.0,,97.0,,,97.0,,Latin America & Caribbean
2003,99.0,99.0,99.0,,97.0,,99.0,,,99.0,,Latin America & Caribbean
2002,98.0,98.0,99.0,,97.0,,99.0,,,99.0,,Latin America & Caribbean
2001,99.0,97.0,96.0,,97.0,,97.0,,,97.0,,Latin America & Caribbean
2000,98.0,95.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1999,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1998,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1997,99.0,99.0,,,,,93.0,,,93.0,,Latin America & Caribbean
1996,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1995,99.0,99.0,,,,,93.0,,,93.0,,Latin America & Caribbean
1994,99.0,99.0,,,,,91.0,,,91.0,,Latin America & Caribbean
1993,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1992,99.0,99.0,,,,,99.0,,,99.0,,Latin America & Caribbean
1991,97.0,94.0,,,,,87.0,,,87.0,,Latin America & Caribbean
1990,99.0,99.0,,,,,89.0,,,89.0,,Latin America & Caribbean
1989,99.0,99.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1988,98.0,98.0,,,,,95.0,,,95.0,,Latin America & Caribbean
1987,98.0,97.0,,,,,89.0,,,,,Latin America & Caribbean
1986,98.0,96.0,,,,,80.0,,,,,Latin America & Caribbean
1985,99.0,99.0,,,,,69.0,,,,,Latin America & Caribbean
1984,97.0,94.0,,,,,73.0,,,,,Latin America & Caribbean
1983,99.0,99.0,,,,,48.0,,,,,Latin America & Caribbean
1982,92.0,79.0,,,,,,,,,,Latin America & Caribbean
1981,92.0,79.0,,,,,,,,,,Latin America & Caribbean
1980,77.0,54.0,,,,,,,,,,Latin America & Caribbean
