Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,,98.0,96.0,94.0,,94.0,96.0,84.0,,96.0,,Western Europe
2017,,98.0,96.0,94.0,,94.0,97.0,90.0,,97.0,,Western Europe
2016,,98.0,96.0,96.0,,96.0,98.0,93.0,,98.0,,Western Europe
2015,,99.0,97.0,97.0,,97.0,99.0,99.0,,99.0,,Western Europe
2014,,99.0,97.0,99.0,,99.0,99.0,96.0,,99.0,,Western Europe
2013,,99.0,98.0,99.0,,99.0,99.0,99.0,,99.0,,Western Europe
2012,,99.0,99.0,99.0,,99.0,98.0,99.0,,98.0,,Western Europe
2011,,99.0,99.0,99.0,,99.0,98.0,98.0,,98.0,,Western Europe
2010,,99.0,99.0,99.0,,99.0,98.0,98.0,,98.0,,Western Europe
2009,98.0,99.0,99.0,99.0,,99.0,98.0,98.0,,98.0,,Western Europe
2008,99.0,99.0,99.0,99.0,,99.0,97.0,98.0,,97.0,,Western Europe
2007,99.0,99.0,99.0,99.0,,99.0,98.0,98.0,,98.0,,Western Europe
2006,99.0,99.0,98.0,98.0,,97.0,97.0,98.0,,97.0,,Western Europe
2005,99.0,99.0,97.0,99.0,,97.0,97.0,98.0,,97.0,,Western Europe
2004,99.0,99.0,98.0,98.0,,98.0,97.0,98.0,,97.0,,Western Europe
2003,98.0,99.0,97.0,92.0,,97.0,97.0,98.0,,97.0,,Western Europe
2002,97.0,99.0,98.0,86.0,,95.0,98.0,98.0,,98.0,,Western Europe
2001,98.0,99.0,98.0,,,,97.0,98.0,,97.0,,Western Europe
2000,98.0,99.0,98.0,,,,97.0,98.0,,97.0,,Western Europe
1999,98.0,99.0,98.0,,,,97.0,,,97.0,,Western Europe
1998,98.0,99.0,98.0,,,,95.0,,,95.0,,Western Europe
1997,97.0,99.0,98.0,,,,96.0,,,96.0,,Western Europe
1996,96.0,98.0,97.0,,,,97.0,,,97.0,,Western Europe
1995,95.0,98.0,96.0,,,,96.0,,,96.0,,Western Europe
1994,95.0,98.0,98.0,,,,97.0,,,97.0,,Western Europe
1993,98.0,99.0,99.0,,,,98.0,,,98.0,,Western Europe
1992,,,,,,,,,,,,Western Europe
1991,,,,,,,,,,,,Western Europe
1990,,,,,,,,,,,,Western Europe
1989,,,,,,,,,,,,Western Europe
1988,,,,,,,,,,,,Western Europe
1987,,,,,,,,,,,,Western Europe
1986,,,,,,,,,,,,Western Europe
1985,,,,,,,,,,,,Western Europe
1984,,,,,,,,,,,,Western Europe
1983,,,,,,,,,,,,Western Europe
1982,,,,,,,,,,,,Western Europe
1981,,,,,,,,,,,,Western Europe
1980,,,,,,,,,,,,Western Europe
